comparison_id,pattern,category,target,title_a,title_b,numbers_a,numbers_b,codes_a,codes_b
C001,code_conflict,Электроника,1,для acer a315-42-r9rd aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель\шнур),для acer a315-21-68x1 aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель/шнур),12 | 19 | 42,12 | 21 | 59189,a31542r9rd,a3152168x1
C002,code_conflict,Музыкальные инструменты,1,акустическая гитара greg bennett gd100s,greg bennett gd100rs/n акустическая гитара,1 | 12 | 4000 | 6,20 | 4 | 6 | 648,gd100s,gd100rs
C003,code_conflict,Музыкальные инструменты,1,"электро-акустическая гитара с чехлом cort gold-oc6-nat gold series с вырезом, цвет натуральный, ","gold-oc6-wcase-nat электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort",12 | 20 | 3900 | 42 | 6 | 643,20 | 4 | 6 | 643,goldoc6nat | pc110,goldoc6wcasenat
C004,code_conflict,Музыкальные инструменты,1,пластик для барабана evans b12ecsrd,"ec reverse dot пластик для малого, том и тимбалес барабана 10"", evans b10ecsrd",1 | 12 | 7,10,b12ecsrd,b10ecsrd
C005,code_conflict,Музыкальные инструменты,1,"evans / tt14ec2s пластик для малого и том барабана 14""","genera resonant пластик для том барабана 14"", резонансный, evans tt14gr",1 | 14,14,tt14ec2s,tt14gr
C006,code_conflict,Музыкальные инструменты,1,c. a. seydel sohne seydel sohne 16301c 1847 silver c губная гармошка,"1847 noble high bb губная гармошка, seydel sohne 16501hbb",10 | 1847 | 20,1847,16301c,16501hbb
C007,code_conflict,Музыкальные инструменты,1,"sr2635 java трости для саксофона альт №3,5 (10шт) vandoren","vandoren sr2615 трости для саксофона альт №1,5 (10шт)",5,1.5 | 10 | 110 | 30 | 5 | 60,sr2635,sr2615
C008,code_conflict,Автотовары,1,стойка стабилизатора avantech арт. asl0203,стойка стабилизатора арт. asl0103,0223 | 1 | 111035 | 54618 | 555 | 66,1,0223r20 | 546180f000 | 546182u600 | 546184m400 | 5461850y00 | 54618d5000 | 54618d5010 | 54618mb40a | asl0203 | cln66 | sln030,asl0103
C009,code_conflict,Музыкальные инструменты,1,чехол для классической гитары 3/4 flight fbg-5055,flight fbg-7055 чехол для 12-струнной акустической гитары,3 | 4 | 5055,12 | 7055,fbg5055,12струнной | fbg7055
C010,code_conflict,Музыкальные инструменты,1,"w81-12e-wbag-op электро-акустическая гитара 12-струнная с чехлом, parkwood",cort / af510e-op standard series электро-акустическая гитара,12 | 20 | 42 | 6782113292,1 | 108 | 14 | 2 | 20 | 46 | 6 | 647,12струнная | ce304t | w8112ewbagop,af510e | af510eop
C011,code_conflict,Музыкальные инструменты,1,струны для бас-гитары d'addario esxl170 45-100,комплект струн для бас-гитары d'addario exl170s,100 | 45,110,esxl170,exl170s
C012,code_conflict,Музыкальные инструменты,1,чехол для уменьшенной гитары martin romas гк-1 кант чёрный размер 1/2-3/4,dasmax / mrгк-2 чехол для классической гитары 1/2,1 | 2 | 3 | 4,1 | 2 | 35 | 4 | 5,гк1,mrгк2
C013,code_conflict,Музыкальные инструменты,1,"rico rgc10asx350 трости для альт-саксофона grand concert alto sax 3.5, 10 шт.",трости для сопрано-саксофона rico grand concert select rgc10ssx350,10 | 2.5 | 3.5,,rgc10asx350,rgc10ssx350
C014,code_conflict,Музыкальные инструменты,1,fabio / stratocaster электрогитара h-s-s st200 bk,flight est13 bk электрогитара,1 | 21 | 3 | 33 | 4 | 4.5 | 42 | 6 | 645 | 99,,st200,est13
C015,code_conflict,Музыкальные инструменты,1,трость для бас-кларнета rigotti gold classic rg.ccb-2.5,трость для саксофона-альт rigotti gold classic rg. csa-4,2.5,10 | 4,ccb2,csa4
C016,code_conflict,Музыкальные инструменты,1,dasmax / mrгк-2 чехол для классической гитары 4/4,"martin romas гк-2bl - чехол для классической гитары  цвет - голубой, утепленный",2 | 35 | 4 | 5,500,mrгк2,гк2bl
C017,color_conflict,Детские товары,1,мягкая плюшевая игрушка подушка гусь обнимусь 130 см,asras - toy / мягкая игрушка подушка гусь обнимусь 130 см большая,0 | 130,125 | 13 | 130 | 2 | 20 | 30 | 9 | 90,,
C018,color_conflict,Галантерея и аксессуары,1,"наручные часы восток командирские, синий, черный",восток часы наручные механические,12 | 2 | 36,18 | 2 | 40 | 61,,
C019,color_conflict,Мебель,1,"лига диванов прямой диван, механизм еврокнижка, 224х80х91 см",прямой диван лига диванов меркурий лайт 112924,02 | 112923 | 127 | 18 | 192 | 224 | 40 | 69 | 80 | 91 | 95000,02 | 1.5 | 112924 | 1270 | 150 | 1920 | 2240 | 400 | 800 | 910 | 95 | 95.00,224х80х91,2240x910x800
C020,color_conflict,Мебель,1,кровать astria подъемным механизмом с размером спального места 160x200,без бренда кровать alfia подъемным механизмом с размером спального места 160x200,1 | 120 | 160 | 168 | 18 | 200 | 210 | 230 | 30 | 4532222346 | 60000,100 | 12 | 120 | 160 | 168 | 2 | 200 | 210 | 250 | 30,160x200,160x200 | 200х120х8
C021,color_conflict,Музыкальные инструменты,1,электрогитара aria stg-003/m 3ts,электрогитара aria stg-003 3ts,003 | 1 | 12 | 22 | 3 | 6 | 648 | 7080 | 888880031806,003 | 1 | 2 | 22 | 25.5 | 43 | 6,os1 | stg003,stg003 | vft1
C022,color_conflict,Хобби и творчество,1,хоббимагазин / алмазная мозаика на подрамнике 33*43,"алмазная мозаика на подрамнике, набор для творчества, картина для выкладки стразами 33*43 см, алмазная россыпь",1 | 10 | 250 | 3 | 33 | 35 | 43 | 45,1 | 10 | 33 | 330 | 43 | 430 | 6916591859,,multimedia1n
C023,color_conflict,Обувь,1,туфли tendance,"tendance туфли tendance, размер 35, белый",0.3 | 39 | 5.5,35 | 5.5,,
C024,color_conflict,Музыкальные инструменты,1,terris / электрогитара шестиструнная tlp 039 wh,terris tlp-039 wh - электрогитара шестиструнная,039 | 1 | 100 | 2 | 22 | 4.8 | 42 | 43 | 6 | 628.7,039 | 12 | 2 | 6695771366,,multimedia2 | tlp039
C025,color_conflict,Автотовары,1,"краска для сколов во флаконе с кисточкой color1 для peugeot, цвет u17 - gris titanium","краска для сколов во флаконе с кисточкой color1 для skoda, цвет lf7u - seda stone/stone grey",0.075 | 20 | 365,1 | 20 | 6694191191,color1,color1
C026,color_conflict,Музыкальные инструменты,1,"evans / tt14ec2s пластик для малого и том барабана 14""","genera resonant пластик для том барабана 14"", резонансный, evans tt14gr",1 | 14,14,tt14ec2s,tt14gr
C027,color_conflict,Автотовары,1,"краска для сколов во флаконе с кисточкой color1 для renault, цвет h30 - orange","краска для сколов во флаконе с кисточкой color1 для renault, цвет hnd - jaune",1 | 20 | 6691349835,0.075 | 20 | 365,color1,color1
C028,color_conflict,Электроника,1,дизайнерский силиконовый чехол для tecno spark 20 pro амонг ас обои,tecno / чехол на tecno spark 20 pro/текно спарк 20 про,20 | 21880 | 71 | 82867,1 | 16 | 20 | 25 | 8,100gadgets,
C029,color_conflict,Ювелирные изделия,1,обручальное кольцо золотое,золотой parad / обручальное кольцо золотое,1.17 | 18.5 | 2023 | 585,1.2 | 18.5 | 375,оба040,
C030,color_conflict,Электроника,1,"soundcore наушники беспроводные с микрофоном, серый",soundcore / полноразмерные беспроводные наушники soundcore life tune,12 | 16 | 240 | 40000 | 5.0,12 | 120 | 15 | 16 | 18 | 22 | 235 | 40 | 40000 | 5.0 | 535 | 7 | 720 | 95,,
