id1,id2,category,name_1,name_2,target,predict,name_token_set_ratio,name_numeric_jaccard,number_conflict,measure_match,measure_conflict,brand_match,brand_conflict,model_match,model_conflict,color_match,color_conflict
472446408617,566935808036,Аптека,очки с футляром-змейка melorsch мод. 2110 цвет 6 с линзами ecoplus 1.56 hmc -6.00 рц 60-62,очки с футляром-змейка melorsch мод. 2110 цвет 6 с линзами ecoplus 1.56 hmc -8.00 рц 58-60,1.0,0.001775892826746877,0.9545454545454546,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
704374789407,77309546794,Аптека,"no name готовые очки женские с диоптриями, очки для зрения корригиррующие -4.00 с uv защитой очки для чтения/очки для близи/очки для дали/очки корригирующие/очки с диоптриями/очки для зрения мужские/очки для зрения женские/",восток готовые очки 0056 розовые -4.0,1.0,0.007637488225770646,0.4897959183673469,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
609885465752,687194920354,Одежда,топ ava,размер 95f,1.0,0.007758870069988862,0.11764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
489626340631,120259148686,Аптека,"без бренда для работы готовые очки с uv защитой для попутного ветра -5,50 очки для чтения/очки для близи/очки для дали/очки +/очки -/очки корригирующие/очки с диоптриями/очки с тонировкой/очки для водителей",женские готовые очки -5.50 с uv защитой  очки для чтения/очки для близи/очки для дали/очки +/очки -/очки корригирующие/очки с диоптриями/очки зрение/очки линза/оптика/купить очки для зрения/очки для зрения мужские/очки для зрения женские/,1.0,0.008318797406667862,0.7708333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
214748499921,472446450406,Аптека,"растер дезинфицирующее средство «део-хлор» санитека, 90 таблеток по 3,4 г","дезинфицирующее средство растер ""део-хлор санитека"", 90 таблеток, 3, 4 г (00-00000843)",1.0,0.010294320182618034,0.8176100628930817,0.16666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
523986075712,661425090352,Аптека,"контактные линзы acuvue oasys 1-day with hydraluxe for astigmatism, 30 шт., r 8,5, d -0,25, cyl: -0,75, aх: 120, 1 уп.",acuvue oasys 1-day with hydraluxe for astigmatism (30 линз) (-0.25/-0.75/130/8.5),1.0,0.011752844665984225,0.6834170854271358,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395137063860,584115679690,Галантерея и аксессуары,часы наручные наручные,casio / часы наручные,1.0,0.01280429105482891,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
377957217392,841813656560,Галантерея и аксессуары,playtoday бандана,бандана playtoday,1.0,0.01351303563171518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
292057915606,670014995856,Аптека,ликопид 1 мг 10 шт. таблетки,"ликопид 0,001 n10 таблетки",1.0,0.015073770450498467,0.7777777777777777,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
807453991904,498216351201,Одежда,ветровка rm shopping,ruf mark / куртка льняная,1.0,0.01526176676764729,0.2666666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
