id1,id2,category,name_1,name_2,target,predict,name_token_set_ratio,name_numeric_jaccard,number_conflict,measure_match,measure_conflict,brand_match,brand_conflict,model_match,model_conflict,color_match,color_conflict
140635,283467967999,Детские товары,"no name мягкая игрушка «авокадо», заяц, 25 см","мягкая игрушка авокадо, заяц, 25 см",0.0,0.9624162781976223,0.875,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
171798703016,128102,Бытовая техника,швейная машина janome 1547,janome швейная машина 1547,0.0,0.9581496866080031,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
377957138674,25674,Детские товары,"танк радиоуправляемый fighter, 4wd, управление жестами, стреляет гелевыми пулями, цвет чёрно-синий","noname танк радиоуправляемый fighter, 4wd, управление жестами, стреляет гелевыми пулями, цвет чёрно-синий",0.0,0.9534989450795412,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
773094208205,824633805538,Детские товары,"набор детской посуды ""микки"" 2 предмета: салатник, кружка, микки маус и его друзья","disney набор детской посуды ""микки"" 2 предмета: салатник, кружка, микки маус и его друзья",0.0,0.9532919556492049,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850403683771,231928288442,Детские товары,"грузовик радиоуправляемый самосвал, работает от батареек,","грузовик радиоуправляемый «самосвал», работает от батареек,",0.0,0.9512693533404754,0.9827586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747324369616,515396152463,Хобби и творчество,без бренда набор для творчества «новогодний пазл-аппликация»,набор для творчества новогодний пазл-аппликация,0.0,0.948739321179889,0.8785046728971964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103079301415,77309532713,Детские товары,uni-fortune / машинка металлическая uni-fortune rmz city 1:32 ford gt 2019,машинка металлическая uni-fortune rmz city 1:32 ford gt 2019 (цвет синий),0.0,0.9472725587505898,0.9836065573770492,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609885504467,850403552404,Бытовая техника,"тепловентилятор керамический электрический equation с электронным термостатом, 2000 вт","тепловентилятор керамический электрический equation с электронным термостатом, 2000 вт / вентилятор тепловой",0.0,0.9437651636594332,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17179989050,163208847527,Бытовая химия,"glade освежитель воздуха цитрусовый, 300 мл","освежитель воздуха glade ""цитрусовый"", 300 мл",0.0,0.9403698838741124,0.9772727272727273,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142672,584115671889,Детские товары,"sluban / конструктор космические войны осада крепости, 501 деталь","конструктор космические войны осада крепости, 501 деталь",0.0,0.9400503483687467,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120259170316,231928285905,Детские товары,"именной держатель для пустышки с грызунком/алёна,лена","без бренда именной держатель для пустышки с грызунком/ алёна, лена",0.0,0.9400452430556376,0.7899159663865547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
