split,oof_requested_rejection_fraction,threshold,pairs,rejected_pairs,rejected_fraction,neural_pairs,neural_fraction,rejected_positives,rejected_positive_rate,original_macro_ap,cascade_macro_ap,macro_ap_delta
ordinary,0.05,0.017585973494022127,12000,477,0.03975,11523,0.96025,2,0.0041928721174004195,0.7923476788936228,0.7923783477203656,3.066882674285232e-05
ordinary,0.1,0.03830261408572437,12000,1006,0.08383333333333333,10994,0.9161666666666667,9,0.008946322067594433,0.7923476788936228,0.7918479810627206,-0.0004996978309022015
ordinary,0.2,0.06875785178877697,12000,2214,0.1845,9786,0.8155,53,0.023938572719060525,0.7923476788936228,0.789995766145795,-0.0023519127478277557
ordinary,0.3,0.09625264621321596,12000,3477,0.28975,8523,0.71025,141,0.04055220017256255,0.7923476788936228,0.7769338935693613,-0.01541378532426152
ordinary,0.4,0.13122971100483163,12000,4702,0.3918333333333333,7298,0.6081666666666666,257,0.054657592513823905,0.7923476788936228,0.7644758243587992,-0.027871854534823548
ordinary,0.5,0.1812372536899937,12000,5985,0.49875,6015,0.50125,426,0.07117794486215538,0.7923476788936228,0.7453527983836898,-0.046994880509932946
ordinary,0.6,0.2497423175069539,12000,7170,0.5975,4830,0.4025,668,0.09316596931659693,0.7923476788936228,0.7164860295298926,-0.07586164936373019
ordinary,0.7,0.3423137314311046,12000,8430,0.7025,3570,0.2975,1039,0.1232502965599051,0.7923476788936228,0.6843033952314221,-0.10804428366220065
ordinary,0.8,0.45435863638249163,12000,9623,0.8019166666666667,2377,0.19808333333333333,1514,0.15733139353631923,0.7923476788936228,0.6505261350614134,-0.14182154383220935
hard,0.05,0.017585973494022127,5814,238,0.04093567251461988,5576,0.9590643274853801,2,0.008403361344537815,0.3746986500183975,0.374652176106542,-4.647391185552685e-05
hard,0.1,0.03830261408572437,5814,527,0.09064327485380116,5287,0.9093567251461988,11,0.020872865275142316,0.3746986500183975,0.3742460600758044,-0.0004525899425931179
hard,0.2,0.06875785178877697,5814,999,0.17182662538699692,4815,0.8281733746130031,86,0.08608608608608609,0.3746986500183975,0.3690159721148115,-0.005682677903586009
hard,0.3,0.09625264621321596,5814,1484,0.25524595803233574,4330,0.7447540419676643,167,0.11253369272237197,0.3746986500183975,0.3657135742653947,-0.008985075753002836
hard,0.4,0.13122971100483163,5814,2022,0.347781217750258,3792,0.6522187822497421,288,0.142433234421365,0.3746986500183975,0.35832166936079823,-0.016376980657599294
hard,0.5,0.1812372536899937,5814,2593,0.4459924320605435,3221,0.5540075679394565,426,0.16428846895487853,0.3746986500183975,0.34463080763197945,-0.030067842386418075
hard,0.6,0.2497423175069539,5814,3241,0.5574475404196766,2573,0.44255245958032335,616,0.1900647948164147,0.3746986500183975,0.326441250801049,-0.04825739921734851
hard,0.7,0.3423137314311046,5814,3888,0.6687306501547987,1926,0.33126934984520123,831,0.21373456790123457,0.3746986500183975,0.3101946103247028,-0.06450403969369473
hard,0.8,0.45435863638249163,5814,4578,0.7874097007223942,1236,0.21259029927760578,1063,0.23219746614242026,0.3746986500183975,0.29234633570385743,-0.0823523143145401
OOD,0.05,0.017585973494022127,41171,15,0.0003643341186757669,41156,0.9996356658813242,1,0.06666666666666667,0.6409761800802108,0.640978327180674,2.1471004632012125e-06
OOD,0.1,0.03830261408572437,41171,868,0.02108280100070438,40303,0.9789171989992956,25,0.02880184331797235,0.6409761800802108,0.6410256408163841,4.9460736173290165e-05
OOD,0.2,0.06875785178877697,41171,3705,0.08999052731291443,37466,0.9100094726870855,140,0.037786774628879895,0.6409761800802108,0.6397871483805159,-0.0011890316996949757
OOD,0.3,0.09625264621321596,41171,7248,0.17604624614413059,33923,0.8239537538558694,294,0.04056291390728477,0.6409761800802108,0.6384092360455309,-0.002566944034679941
OOD,0.4,0.13122971100483163,41171,12749,0.30965971193315683,28422,0.6903402880668432,676,0.05302376656992705,0.6409761800802108,0.631058734235297,-0.00991744584491383
OOD,0.5,0.1812372536899937,41171,18607,0.4519443297466663,22564,0.5480556702533337,1357,0.07292954264524104,0.6409761800802108,0.6160877078588474,-0.024888472221363478
OOD,0.6,0.2497423175069539,41171,24676,0.5993539141628816,16495,0.40064608583711836,2358,0.09555843734803048,0.6409761800802108,0.5915148236366241,-0.049461356443586735
OOD,0.7,0.3423137314311046,41171,30095,0.7309756867698137,11076,0.2690243132301863,3724,0.12374148529656089,0.6409761800802108,0.555714967660764,-0.08526121241944684
OOD,0.8,0.45435863638249163,41171,34273,0.8324548832916373,6898,0.1675451167083627,5154,0.15038076620079946,0.6409761800802108,0.5203381531266118,-0.12063802695359904
